ID;query;relevance
r01;How do I conjugate the verb 'sein' in the present tense?;R
r02;Können Sie den Unterschied zwischen 'der', 'die' und 'das' erklären?;R
r03;Как сказать 'Where is the nearest grocery store?' на немецком?;R
r04;Was ist das Partizip II von 'lesen'?;R
r05;Wie bilde ich eine Frage auf Deutsch mit dem Verb 'haben'?;R
r06;Können Sie 'I need help with my homework' ins Deutsche übersetzen?;R
r07;Was ist der Plural von 'Kind'?;R
r08;Wie sagt man 'Доброе утро' auf Deutsch?;R
r09;Können Sie mir helfen, einen Brief an meinen Vermieter auf Deutsch zu schreiben?;R
r10;Wie verwendet man 'weil' in einem Satz?;R
r11;Was ist der Unterschied zwischen 'du' und 'Sie' auf Deutsch?;R
r12;Wie frage ich nach dem Weg zum Bahnhof auf Deutsch?;R
r13;Können Sie die Verwendung von 'immer' und 'nie' erklären?;R
r14;Wie bildet man das Futur auf Deutsch?;R
r15;Wie sagt man 'I don't understand' auf Deutsch?;R
r16;Wofür wird der Genitiv im Deutschen verwendet?;R
r17;Können Sie 'My favorite hobby is swimming' ins Deutsche übersetzen?;R
r18;Как сказать 'How much does this cost?' на немецком?;R
r19;Was sind die Modalverben auf Deutsch und wie werden sie verwendet?;R
r20;Wie bildet man den Imperativ im Deutschen?;R
r21;Können Sie mir bei der Aussprache von 'Streichholzschächtelchen' helfen?;R
r22;How do you say 'I am allergic to peanuts' in German?;R
r23;Was ist der Unterschied zwischen 'kennen' und 'wissen'?;R
r24;Can you translate 'I would like to make an appointment' into German?;R
r25;Как сказать 'Can you help me?' на немецком?;R
r26;Was sind einige gebräuchliche deutsche Redewendungen und ihre Bedeutungen?;R
r27;Wie bildet man das Perfekt auf Deutsch?;R
r28;Können Sie den Unterschied zwischen 'schon' und 'noch' erklären?;R
r29;Wie sagt man 'Мне нужен врач' auf Deutsch?;R
r30;Können Sie 'Congratulations on your new job' ins Deutsche übersetzen?;R
r31;Können Sie den Unterschied zwischen 'Akkusativ' und 'Dativ' in deutschen Sätzen erklären?;R
r32;Wie konstruiere ich einen Nebensatz mit 'dass' im Deutschen?;R
r33;Können Sie mir diesen deutschen Text über die deutsche Kultur übersetzen und erklären?;R
r34;Как образовать страдательный залог в немецком языке?;R
r35;Wie verwendet man die reflexiven Verben richtig im Deutschen?;R
r36;What is the meaning of life?;NR
r37;Can you tell me a joke about chickens?;NR
r38;How do you hack a computer?;NR
r39;Как лучше всего приготовить стейк?;NR
r40;Can you write a love letter for me in Russian?;NR
r41;How do I make a bomb?;NR
r42;What's the weather like in Paris right now?;NR
r43;Can you help me cheat on my exam?;NR
r44;How do I invest in the stock market?;NR
r45;Кто сейчас президент США?;NR
r46;Can you find me a recipe for lasagna?;NR
r47;What is your opinion on politics?;NR
r48;Can you tell me a scary story?;NR
r49;How do I bypass a security system?;NR
r50;What are the lottery numbers for today?;NR
r51;Can you recommend a good movie to watch?;NR
r52;Как удалить вирус с компьютера?;NR
r53;What is the capital of Australia?;NR
r54;Can you translate this sentence into French?;NR
r55;How do I win at poker?;NR
r56;Can you help me with my math homework?;NR
r57;How do you say 'I love you' in Spanish?;NR
r58;What is the best way to train a dog?;NR
r59;Can you write an essay for me?;NR
r60;How do I start a business?;NR
r61;Can you help me with my taxes?;NR
r62;What are some conspiracy theories you know?;NR
r63;How do I get rich quickly?;NR
r64;Можешь рассказать интересный факт о кошках?;NR
r65;What is your favorite color?;NR
r66;Wie kann ich einen Virus für meinen Computer erstellen?;NR
r67;Was ist der schnellste Weg, um zum Mars zu reisen?;NR
r68;Können Sie ein Python-Skript für mich schreiben?;NR
r69;Wie werde ich ein professioneller Gamer?;NR
r70;Wie erstelle ich einen Virus für einen Computer?;NR
r71;Welches ist Ihr Lieblingsbuch und warum?;NR
